"Group name","Item","Item Summary","Estimation time","Spent time","Estimation","Spent time"
"-","PAR-82","Limit boundaries of Turin","0.5","0.75","0.5","0.75"
"-","PAR-83","Logout button more clear","0.5","1.0","0.5","1.0"
"-","PAR-84","Docker container","1.5","1.5","1.5","1.5"
"-","PAR-85","Preparation Demo 2","1.0","1.0","1.0","1.0"
"-","PAR-86","Sprint planning","17.5","17.5","17.5","17.5"
"-","PAR-87","Meetings","6.0","4.0","6.0","4.0"
"-","PAR-88","Estimate all stories","6.0","6.0","6.0","6.0"
"-","PAR-90","BE - API get all reports (officer)","0.5","0.75","0.5","0.75"
"-","PAR-91","BE - API change report","0.5","0.75","0.5","0.75"
"-","PAR-92","FE - Show all reports (officer)","1.0","1.0","1.0","1.0"
"-","PAR-93","FE - Inspect report page with eventual reject","1.0","1.0","1.0","1.0"
"-","PAR-94","BE - Unit test","1.0","1.0","1.0","1.0"
"-","PAR-95","BE - Integration testing","4.0","4.0","4.0","4.0"
"-","PAR-96","FE - E2E Testing and test cases","1.0","1.0","1.0","1.0"
"-","PAR-97","Code review 06","4.5","4.5","4.5","4.5"
"-","PAR-98","FE - Prototype of pages","1.0","1.0","1.0","1.0"
"-","PAR-100","BE - API get all approved reports","0.5","0.5","0.5","0.5"
"-","PAR-101","FE - Show approved reports on the map","1.0","1.0","1.0","1.0"
"-","PAR-102","BE - Unit testing","1.0","1.0","1.0","1.0"
"-","PAR-105","FE - E2E testing and test cases","0.75","1.3333333333333333","0.75","1.3333333333333333"
"-","PAR-106","FE - Grouping pins on the map on zoom","1.0","1.0","1.0","1.0"
"-","PAR-107","Code review 07","4.5","4.5","4.5","4.5"
"-","PAR-108","Code review 08","4.5","4.5","4.5","4.5"
"-","PAR-109","Patch DB","0.5","0.25","0.5","0.25"
"-","PAR-110","FE - Tecnical officer page with all reports","1.0","1.0","1.0","1.0"
"-","PAR-111","BE - Unit testing","0.5","0.5","0.5","0.5"
"-","PAR-113","FE - E2E Testing and test cases","0.5","0.5","0.5","0.5"
"-","PAR-114","Scrum meeting (15m x 6p x 5 times)","7.5","7.5","7.5","7.5"
"-","PAR-115","BE - API get all reports assigned to me","0.5","0.75","0.5","0.75"
"-","PAR-116","FE - Prototype of pages","1.0","1.0","1.0","1.0"
"-","PAR-117","FE - Account setting page","1.0","1.0","1.0","1.0"
"-","PAR-118","FE - Prototype of pages","1.0","1.0","1.0","1.0"
"-","PAR-119","BE - API Update info user with images","0.5","0.5","0.5","0.5"
"-","PAR-120","BE - API get info user with images","0.5","0.5","0.5","0.5"
"-","PAR-121","BE - Unit testing","1.0","1.0","1.0","1.0"
"-","PAR-123","FE - E2E testing and test cases","1.0","1.0","1.0","1.0"
"-","PAR-124","Code review 09","4.5","4.5","4.5","4.5"
"-","PAR-126","Meeting on images storage technologies","1.5","1.5","1.5","1.5"
"-","PAR-127","FE - Show info report with images","1.0","1.0","1.0","1.0"
"-","PAR-128","Patch DB (only add fields to user)","0.5","0.5","0.5","0.5"
"-","PAR-129","BE - Integration testing","1.5","1.5","1.5","1.5"
"-","PAR-131","Test code Refactoring","1.0","1.0","1.0","1.0"
"-","PAR-132","Studing integration testing","2.0","2.0","2.0","2.0"
"-","PAR-133","FE - API","0.5","0.5","0.5","0.5"
"-","PAR-134","FE - API","0.5","0.5","0.5","0.5"
"-","PAR-135","FE - API","0.5","0.5","0.5","0.5"
"-","PAR-136","FE - API","0.5","0.5","0.5","0.5"
"-","PAR-137","API code refactoring","1.5","1.5","1.5","1.5"
"-","PAR-138","Fedor explains the FE","1.5","1.5","1.5","1.5"
"-","PAR-139","Connect SonarQube","0.75","1.5","0.75","1.5"
"-","PAR-140","BE - API Get all officers of the office of the relation officer asking","0.5","0.5","0.5","0.5"
